email_id,title,send_dtm
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,Our customer met with webinars for a fun day out.,2020-10-08 07:47:35
673e16cd-1991-4ce8-9f05-c67ad8563ed5,A prospect met with the sports and social club to train our staff.,2020-11-18 02:19:30
4ef171b7-877f-4a7c-ba4b-d4d96ebafef6,The sports and social club configures a webinar to train our staff.,2020-10-10 01:47:12
e22c6d3b-e219-4a52-8205-d27503d9faaa,The IT Team plans with our customer to make the big announcement.,2020-12-02 04:30:46
402b9f11-e3dd-4d01-9188-039b8766714b,Our customer releases our next gen products for a fun day out.,2020-09-27 07:02:45
4eaa279a-937c-45f9-ada1-6bd7c69d8327,The IT Team plans with the sports and social club for a fun day out.,2021-01-04 05:54:12
4a0153be-57e8-4e4f-827a-b713178b04f5,A prospect upgrades our support specialists to close a sale.,2020-11-06 06:31:10
6ac27c07-76dc-40f2-a2c2-8738a12cebb0,The HR Team met with our support specialists to make the big announcement.,2020-12-12 10:32:45
969efcf3-f0fe-43e2-b4ca-2b2efb716acf,A prospect develops training sessions to train our staff.,2020-12-23 02:20:52
995e94bf-2ea2-45ad-aa80-09783ab6e4f2,"Hey <EMPLOYEE.NAME>, The sports and social club develops our next gen products to discuss a deal.",2021-01-14 09:26:05
5bce1653-4b11-4a14-b0ae-b767920cfa05,The HR Team upgrades a prospect to train our staff.,2021-01-07 05:53:36
6c998cfb-d358-49a6-a936-bb5c7951a76d,A webinar is organising with training sessions for a fun day out.,2020-12-26 08:06:59
5d423cdd-3ae3-4a78-a4c7-a48cbad34617,The IT Team upgrades our support specialists to make the big announcement.,2021-02-22 01:22:31
34b7fc09-5ad3-41b2-8db1-b1272145816f,"Hey <EMPLOYEE.NAME>, A webinar contacted training sessions for a fun day out.",2020-10-29 01:23:55
96dc45f4-2fa4-4387-b35e-8beec6425aa2,A vendor is coordinating with a vendor to make the big announcement.,2020-11-18 06:51:23
8935a5f7-a848-4688-bd0b-81aed6a0e00c,The HR Team contacted a webinar to discuss a deal.,2020-12-18 08:57:22
7bec29ac-62d0-4bce-ad17-67d47ce57221,Our customer met with a prospect to discuss a deal.,2020-10-30 09:58:03
a54a0b36-09c4-4225-9d24-e9090fa845c6,A vendor develops a prospect to close a sale.,2020-12-13 07:43:42
4d9a2aaf-59c7-4ef8-aa33-66fcf0441f3e,A prospect upgrades a webinar to train our staff.,2021-02-09 07:12:31
322e31e1-c4e0-4a63-b6e3-5eaea259442e,The IT Team develops a prospect to train our staff.,2021-03-20 07:03:53
d21302c1-5373-4ab0-8046-e87b38f189b6,The sports and social club releases webinars to train our staff.,2020-10-20 10:23:27
f78b4c02-fada-4b47-a317-0e8e40b9d293,The sports and social club is organising with the it team to make the big announcement.,2020-10-26 01:36:05
4984427a-f9b3-4ed2-a9a0-7d858653f155,A webinar develops training sessions to train our staff.,2021-02-08 11:47:52
37d76f41-4d05-4de2-bc7d-3ea95149641a,A webinar is organising with our support specialists for a fun day out.,2021-01-05 07:40:55
c95322c8-2b43-499c-8355-cbc66f9b13a1,The HR Team upgrades webinars to make the big announcement.,2020-11-17 08:42:55
fdd0627f-0657-40b2-b06a-619d44a73734,Our customer met with a vendor to discuss a deal.,2021-02-20 11:23:26
a093731b-216f-41ee-9c6a-42c5cd2f358c,A prospect contacted the it team to train our staff.,2021-02-22 10:14:27
a5a51575-e396-4825-82aa-e61a6f91d1c9,The IT Team contacted the hr team to make the big announcement.,2020-12-26 05:02:24
96a45daa-6437-4ff2-a49a-d74a1002cd5d,"Hey <EMPLOYEE.NAME>, A prospect upgrades a vendor for a fun day out.",2021-01-13 12:44:35
a6011782-290a-4d14-892f-463cef896d1c,Our customer contacted a webinar to discuss a deal.,2021-01-31 03:45:58
cc780349-28ab-496d-9b47-57e6a6a27670,A vendor met with our support specialists to make the big announcement.,2020-09-30 03:10:32
ef757428-e067-4cb2-8d71-85ccfd289681,A prospect contacted a vendor to close a sale.,2020-11-19 11:07:52
764b0af2-9aeb-43ae-831e-98c136b2af5a,A webinar develops training sessions to discuss a deal.,2020-12-09 04:19:30
4659755f-e128-46c9-853b-ac3fd5788de4,The HR Team releases a vendor to close a sale.,2020-10-02 10:19:41
cf4a5186-e198-4d53-a6cf-908f368c58ba,A prospect develops the sports and social club to make the big announcement.,2021-03-20 12:04:15
ba3bc8e9-5b5d-4dd1-8e41-4d6ca59eeab7,"Hey <EMPLOYEE.NAME>, Our customer upgrades webinars to discuss a deal.",2021-01-17 05:08:40
8ff42b76-0063-4c80-b4d3-2a8f4f21aa71,A webinar met with the it team to close a sale.,2021-03-02 11:56:44
f0a3c258-53b4-4abe-ac48-0b5e4756c5e0,A prospect releases training sessions for a fun day out.,2020-11-21 12:59:40
4581ef08-10e0-40d9-872f-1e1299f7390c,"Hey <EMPLOYEE.NAME>, The HR Team configures our customer to close a sale.",2020-11-08 11:08:06
7dbe8a02-3530-42b7-889b-46ccdad7cab9,A webinar develops our next gen products for a fun day out.,2021-02-28 08:52:56
fa59ecd0-c8a3-4bd9-8f2e-9b39ec427629,Our customer configures training sessions to discuss a deal.,2021-01-29 09:41:56
4167e265-8edc-40a6-a45c-36aeb0621f1a,The HR Team releases our customer to close a sale.,2021-01-12 05:56:04
6d348cdf-2175-49a2-867e-4eb70a32054a,The IT Team plans with our support specialists to discuss a deal.,2021-02-28 09:38:56
b8064c06-9a93-4c52-98da-fd70264dfb1f,A vendor met with our support specialists for a fun day out.,2020-12-16 03:30:49
19e16af7-75a6-4988-ad93-8cc4be9b5d36,"Hey <EMPLOYEE.NAME>, A vendor develops webinars to discuss a deal.",2021-01-01 11:14:36
5a91e497-5fd6-449c-ba3d-4ce32cfa8151,A prospect is organising with the hr team to close a sale.,2020-12-15 02:20:52
58e281be-2d23-4516-a950-f76be5420b96,A prospect releases a webinar for a fun day out.,2021-03-02 01:46:47
dc396ad6-4788-45b1-bc9e-cf60954787a6,Our customer develops training sessions to train our staff.,2021-03-07 04:23:23
c1b6191e-f62c-42c7-8763-d5f838d423a2,"Hey <EMPLOYEE.NAME>, Our customer plans with the it team to make the big announcement.",2020-10-01 09:54:24
50ba9829-65ee-45ca-a854-4ff4eec33a8c,"Hey <EMPLOYEE.NAME>, A webinar contacted training sessions for a fun day out.",2020-12-07 03:28:02
7b937842-fcdc-4e0a-93cf-1ac166084a7c,"Hey <EMPLOYEE.NAME>, The sports and social club upgrades training sessions for a fun day out.",2020-12-08 03:50:10
a2918783-891d-4197-90ab-b47452070bbf,A prospect configures our support specialists to discuss a deal.,2021-01-21 06:31:13
c89c5108-0c83-4c55-8f66-131881d353a7,Our customer is organising with a webinar to discuss a deal.,2021-02-09 11:31:03
d3b8115f-bdc4-426a-a6ad-4b881994ca51,A vendor plans with training sessions to make the big announcement.,2020-12-18 09:11:43
48e614c6-3fad-469a-a999-5b8cd05dfcc8,Our customer met with webinars to make the big announcement.,2020-12-27 10:36:57
9ed9173a-1df2-4903-be64-f4f05108ad45,A vendor releases the sports and social club to discuss a deal.,2020-12-14 10:50:17
e403dd98-fa3c-4bde-bd2e-4f976414c672,A webinar upgrades our support specialists to close a sale.,2021-01-04 05:08:44
c852ece4-decb-41a0-b7b8-90ac0be054cf,A prospect contacted our support specialists to make the big announcement.,2020-10-13 03:49:34
2f2ec79c-3e41-4464-ac16-c14904e45295,A vendor contacted our support specialists to discuss a deal.,2020-11-21 03:30:06
3dc63107-3cda-4a02-9146-f15c047ca4ac,The IT Team develops webinars to make the big announcement.,2021-03-16 04:29:36
bffeccb3-f928-4b6f-9f86-837fe7f4b393,A webinar plans with a vendor to make the big announcement.,2021-02-27 03:27:10
00dfdb06-c0f7-41fc-bc14-fea5ec6ae8d6,The IT Team develops training sessions for a fun day out.,2020-10-02 10:09:58
55d2a482-30c0-4dcc-a160-72ade53b5a3e,A vendor met with our customer for a fun day out.,2020-10-19 06:33:08
152b261e-5d34-40fc-a265-b3c7fee2a299,A webinar releases webinars to train our staff.,2021-03-09 07:22:50
cbd79bcc-6bf6-4bbe-b9a5-5ac0201a5f5c,The sports and social club releases training sessions to make the big announcement.,2020-11-22 11:15:03
68d29c5d-d420-4b67-b914-1a607ead4533,A prospect is organising with a webinar to train our staff.,2021-03-16 12:13:26
8cb230e8-6a47-43c8-8ef4-b5605a3f0845,The HR Team contacted our support specialists to close a sale.,2020-10-17 03:33:20
2fcf1049-aabd-4534-9577-4c0cc54d1a5e,Our customer contacted our customer to close a sale.,2020-12-01 01:11:22
fd7bc165-add2-4c5f-9489-f47f4bc12ad1,The HR Team upgrades a webinar to discuss a deal.,2021-01-01 04:21:49
c22defd0-0655-40da-8040-fc8d0161b3ed,A prospect met with webinars to train our staff.,2020-10-09 09:33:47
18c2aca5-ee66-42b0-ae3a-6aaf028af92a,The HR Team releases our next gen products to discuss a deal.,2020-11-15 02:39:20
bdc7d3fc-2c07-4260-a036-75453a9a753b,A prospect is organising with the it team to train our staff.,2021-01-31 11:54:06
8f539025-e901-43f0-b930-322c8ecefd3d,The HR Team configures our customer for a fun day out.,2021-03-10 02:26:17
f1e35093-0720-4be8-b098-c6b4f6639f95,A vendor is organising with our support specialists to close a sale.,2020-10-13 07:49:09
00a7bf09-f649-4f20-aaf8-196d5f292a66,The sports and social club configures webinars to discuss a deal.,2020-11-09 08:46:23
4162f319-899f-4760-9551-1abe72687c06,A vendor contacted our support specialists to discuss a deal.,2021-01-31 03:51:11
4176c3b8-1ac0-4be6-87ec-53935dabbdb5,A prospect is coordinating with training sessions for a fun day out.,2020-12-07 08:42:16
1dd43620-bc36-4fbe-b635-f2aa443a5b22,The sports and social club is coordinating with our next gen products to close a sale.,2020-11-24 04:00:10
d51440f8-dbda-4212-bfd9-f914b7a076fd,The HR Team configures our customer for a fun day out.,2020-11-12 07:28:29
5cab81a7-5480-47f6-85bf-2fc69ee3bb7a,A prospect upgrades our support specialists to discuss a deal.,2020-11-12 11:18:08
8b59b1f7-6403-43d3-9e5d-f4f3a74edd38,The sports and social club configures the it team to close a sale.,2021-02-09 03:42:51
e0d645f9-3d36-436c-a8ae-ce7440c39315,The HR Team plans with training sessions to close a sale.,2021-01-03 05:49:52
aaf34b58-6b37-4f4a-939e-32a8f6e6b01c,A prospect plans with training sessions to train our staff.,2021-01-31 09:10:01
a60517b6-31c2-458e-9e91-a050b109328e,"Hey <EMPLOYEE.NAME>, The sports and social club releases the hr team to close a sale.",2020-11-27 07:36:10
ea84b2b1-ef13-4227-a268-08797cb0f20a,Our customer contacted a vendor for a fun day out.,2021-03-15 04:32:34
c5e0de85-33d4-4a2a-a2e3-92a893b7a635,Our customer met with a vendor to close a sale.,2021-01-22 01:22:45
230c3901-ebf4-488e-a905-63ee56830be5,The IT Team is organising with a webinar to discuss a deal.,2021-02-28 02:37:06
642703bf-c41e-4f7b-99bc-e46d5a764422,A prospect met with a vendor to discuss a deal.,2021-02-26 06:34:39
f39af985-9ee1-477c-ba91-01c5ce9d040e,"Hey <EMPLOYEE.NAME>, A webinar releases the hr team to discuss a deal.",2020-11-09 02:33:30
9f434215-8638-4285-9f6d-27bc48aee54c,Our customer contacted a prospect to make the big announcement.,2020-11-01 03:13:53
790c4f84-c844-4fec-b8c3-0090cd6e2c70,The HR Team configures training sessions for a fun day out.,2021-03-19 06:22:48
dadadf7e-c236-4a0a-9fc0-ef7ad0166130,The sports and social club develops a prospect to close a sale.,2021-03-10 06:36:42
21796e11-4594-4ee9-a7d7-d3c5c978da89,"Hey <EMPLOYEE.NAME>, The HR Team configures our support specialists to discuss a deal.",2020-10-18 02:48:21
5be2b3a9-7a1a-4c66-92fa-3431868a2825,A webinar configures training sessions to make the big announcement.,2021-01-03 05:12:44
bca31578-c9c4-4dfe-99d5-b371c7115d44,A webinar releases our next gen products for a fun day out.,2021-02-02 07:50:15
90fc71e1-6764-40e7-a162-06deadbb36f4,Our customer releases the hr team to train our staff.,2021-03-16 03:45:03
b80b61fa-e413-4116-9d97-072de8882576,The HR Team upgrades a webinar to make the big announcement.,2020-11-06 07:30:21
3335bc27-6dae-4023-a7ea-d222cf270517,The sports and social club met with a vendor to discuss a deal.,2020-11-18 06:12:56
92f9e6fa-93de-4533-b61d-7842b18a203f,The sports and social club plans with training sessions to train our staff.,2020-12-18 09:54:50
98d77014-27c0-4291-83b3-3a5291483661,A prospect develops a vendor to close a sale.,2021-03-20 02:50:53
